t,driver,x,y
38,OCO,-1038,3206
38,PER,-427,10430
38,PIA,6269,14501
38,RIC,-691,7264
38,RUS,4787,14439
38,SAI,1821,14036
38,STR,-1176,1606
38,TSU,-1122,2224
38,VER,-380,11203
38,ZHO,-1184,1508
40,ALB,-416,9973
40,ALO,-490,8256
40,BOT,-1197,1362
40,COL,-1160,1785
40,GAS,-898,4825
40,HAM,1135,13704
40,HUL,-251,9082
40,LEC,4910,14446
40,MAG,-706,7082
40,NOR,7125,15013
40,OCO,-1017,3451
40,PER,-323,11576
40,PIA,6804,14630
40,RIC,-633,7910
40,RUS,5933,14489
40,SAI,3143,14307
40,STR,-1127,2176
40,TSU,-1108,2391
40,VER,-68,12365
40,ZHO,-1182,1533
42,ALB,-384,11169
42,ALO,-169,8422
42,BOT,-1195,1384
42,COL,-1156,1829
42,GAS,-798,5987
42,HAM,2373,14188
42,HUL,-413,9922
42,LEC,6104,14494
42,MAG,-656,7679
42,NOR,7608,15159
42,OCO,-979,3889
42,PER,201,12836
42,PIA,7109,15004
42,RIC,-452,8280
42,RUS,6618,14549
42,SAI,4636,14430
42,STR,-1086,2645
42,TSU,-1090,2600
42,VER,793,13464
42,ZHO,-1180,1553
44,ALB,24,12550
44,ALO,-180,8816
44,BOT,-1190,1438
44,COL,-1146,1955
44,GAS,-683,7366
44,HAM,3861,14370
44,HUL,-385,11156
44,LEC,6738,14593
44,MAG,-546,8190
44,NOR,8316,15343
44,OCO,-908,4713
44,PER,1457,13881
44,PIA,7661,15168
44,RIC,-156,8458
44,RUS,7023,14938
44,SAI,6051,14493
44,STR,-1067,2867
44,TSU,-1062,2930
44,VER,2117,14128
44,ZHO,-1179,1568
46,ALB,1149,13713
46,ALO,-356,9524
46,BOT,-1175,1618
46,COL,-1097,2517
46,GAS,-598,8077
46,HAM,5392,14468
46,HUL,43,12583
46,LEC,7070,14977
46,MAG,-194,8380
46,NOR,9342,15713
46,OCO,-797,6000
46,PER,3117,14304
46,PIA,8407,15372
46,RIC,-191,8856
46,RUS,7570,15152
46,SAI,6792,14622
46,STR,-1048,3085
46,TSU,-1020,3412
46,VER,3555,14345
46,ZHO,-1179,1572
48,ALB,2601,14231
48,ALO,-425,10544
48,BOT,-1100,2482
48,COL,-1079,2725
48,GAS,-321,8317
48,HAM,6418,14511
48,HUL,1019,13630
48,LEC,7576,15153
48,MAG,-164,8752
48,NOR,10313,15839
48,OCO,-687,7314
48,PER,4622,14429
48,PIA,9378,15725
48,RIC,-347,9484
48,RUS,8216,15313
48,SAI,7093,14993
48,STR,-1029,3311
48,TSU,-967,4027
48,VER,4949,14448
48,ZHO,-1176,1598
50,ALB,4385,14413
50,ALO,-231,11942
50,BOT,-1085,2665
50,COL,-1058,2967
50,GAS,-147,8659
50,HAM,6938,14824
50,HUL,2616,14234
50,LEC,8524,15412
50,MAG,-346,9475
50,NOR,10894,15082
50,OCO,-572,8148
50,PER,5945,14489
50,PIA,10346,15827
50,RIC,-420,10693
50,RUS,9205,15667
50,SAI,7631,15163
50,STR,-984,3836
